csa_name_mod2,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,worked_shifts_f30d,head_count_f30d,fill_rate_f30d,avg_days_between_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
All Other Markets Combined,1,2,1,0.5000,7,2,11,0.1818,,7,-2,2022Q3
All Other Markets Combined,8,5,3,0.6000,33,27,234,0.1154,,133,-96,2022Q3
All Other Markets Combined,2,2,1,0.5000,2,2,3,0.6667,,5,4,2022Q3
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,12,3,2,0.6667,16,7,39,0.1795,,105,69,2022Q3
All Other Markets Combined,5,1,1,1.0000,13,8,13,0.6154,,13,1,2022Q3
All Other Markets Combined,7,4,1,0.2500,5,3,14,0.2143,,32,22,2022Q3
All Other Markets Combined,0,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,1,2,4,2.0000,39,32,251,0.1275,,223,-26,2022Q3
All Other Markets Combined,5,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
All Other Markets Combined,5,1,1,1.0000,2,1,2,0.5000,,1,0,2022Q3
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,1,1,2,2.0000,17,10,19,0.5263,,61,43,2022Q3
All Other Markets Combined,1,1,1,1.0000,6,6,6,1.0000,,76,71,2022Q3
All Other Markets Combined,5,1,1,1.0000,2,1,2,0.5000,,1,0,2022Q3
All Other Markets Combined,8,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,0,2,1,0.5000,4,8,20,0.4000,,39,21,2022Q3
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,8,8,2022Q4
All Other Markets Combined,8,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,1,1,1,1.0000,5,2,5,0.4000,,4,0,2022Q3
All Other Markets Combined,1,3,3,1.0000,39,16,345,0.0464,,594,252,2022Q3
All Other Markets Combined,6,4,1,0.2500,9,3,59,0.0508,,344,289,2022Q3
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,4,1,2,2.0000,5,4,7,0.5714,,4,-2,2022Q3
All Other Markets Combined,19,1,1,1.0000,1,1,1,1.0000,,6,6,2022Q4
All Other Markets Combined,4,2,2,1.0000,12,15,64,0.2344,,73,11,2022Q4
All Other Markets Combined,11,1,1,1.0000,2,3,7,0.4286,,3,-3,2022Q4
All Other Markets Combined,180,1,1,1.0000,1,1,1,1.0000,,6,6,2023Q1
All Other Markets Combined,4,100,19,0.1900,3,30,3280,0.0091,,695,-2485,2022Q3
All Other Markets Combined,5,2,1,0.5000,36,15,185,0.0811,,1120,937,2022Q3
All Other Markets Combined,1,1,1,1.0000,19,3,20,0.1500,1.2222,22,3,2023Q1
All Other Markets Combined,5,5,5,1.0000,12,20,142,0.1408,,1845,1708,2022Q4
All Other Markets Combined,5,3,4,1.3333,3,8,20,0.4000,,4,-13,2022Q3
All Other Markets Combined,6,1,1,1.0000,1,1,1,1.0000,,8,8,2022Q4
All Other Markets Combined,0,1,1,1.0000,2,2,3,0.6667,,4,2,2022Q4
All Other Markets Combined,5,10,3,0.3000,2,4,39,0.1026,,321,292,2022Q3
All Other Markets Combined,7,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
All Other Markets Combined,6,2,2,1.0000,1,2,4,0.5000,,0,-2,2022Q3
All Other Markets Combined,3,1,1,1.0000,26,6,27,0.2222,0.7200,452,426,2023Q1
All Other Markets Combined,1,1,1,1.0000,2,3,3,1.0000,,1,-1,2022Q3
All Other Markets Combined,2,3,3,1.0000,2,3,18,0.1667,,3,-12,2022Q3
All Other Markets Combined,3,2,3,1.5000,10,21,164,0.1280,,168,6,2022Q3
All Other Markets Combined,4,4,1,0.2500,1,1,4,0.2500,,0,0,2022Q4
All Other Markets Combined,2,2,2,1.0000,3,4,14,0.2857,,8,-4,2022Q3
All Other Markets Combined,2,2,3,1.5000,14,13,32,0.4063,,42,12,2022Q4
All Other Markets Combined,1,2,3,1.5000,2,5,10,0.5000,,5,-3,2022Q4
All Other Markets Combined,5,4,3,0.7500,1,3,12,0.2500,,0,-8,2023Q1
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,12,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,2,3,3,1.0000,3,3,11,0.2727,,42,34,2022Q4
All Other Markets Combined,12,2,2,1.0000,4,4,8,0.5000,0.0000,27,21,2023Q2
All Other Markets Combined,2,2,2,1.0000,1,2,4,0.5000,,16,14,2022Q4
All Other Markets Combined,3,2,1,0.5000,1,1,2,0.5000,,0,0,2022Q4
All Other Markets Combined,2,1,1,1.0000,13,11,16,0.6875,,76,61,2022Q4
All Other Markets Combined,5,4,4,1.0000,9,10,95,0.1053,,23,-68,2022Q4
All Other Markets Combined,4,1,2,2.0000,10,10,19,0.5263,,16,-2,2022Q4
All Other Markets Combined,14,4,6,1.5000,4,12,84,0.1429,,308,228,2022Q4
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,2,2,2022Q4
All Other Markets Combined,3,2,1,0.5000,54,35,997,0.0351,,1162,167,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,15,2,3,1.5000,23,26,176,0.1477,,58,-116,2022Q4
All Other Markets Combined,1,1,1,1.0000,5,3,5,0.6000,,52,48,2022Q4
All Other Markets Combined,6,2,2,1.0000,3,3,7,0.4286,,18,13,2022Q4
All Other Markets Combined,4,2,2,1.0000,16,7,103,0.0680,,149,48,2022Q4
All Other Markets Combined,1,3,1,0.3333,9,17,118,0.1441,,468,353,2022Q4
All Other Markets Combined,213,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,8,2,2,1.0000,6,5,16,0.3125,,32,18,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q4
All Other Markets Combined,5,4,4,1.0000,1,4,16,0.2500,,0,-12,2022Q4
All Other Markets Combined,4,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q4
All Other Markets Combined,13,2,1,0.5000,13,4,18,0.2222,,19,3,2022Q4
All Other Markets Combined,26,2,2,1.0000,31,14,59,0.2373,0.6000,40,-17,2023Q1
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,1,2,1,0.5000,1,1,2,0.5000,,0,0,2022Q4
All Other Markets Combined,2,2,2,1.0000,2,2,5,0.4000,,3,0,2022Q4
All Other Markets Combined,4,2,2,1.0000,5,2,12,0.1667,,11,1,2022Q4
All Other Markets Combined,10,1,2,2.0000,4,4,5,0.8000,,7,3,2022Q4
All Other Markets Combined,2,1,1,1.0000,3,3,3,1.0000,,4,2,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,1,1,1,1.0000,2,2,2,1.0000,18.0000,31,30,2023Q1
All Other Markets Combined,48,4,2,0.5000,1,2,8,0.2500,,0,-4,2022Q4
All Other Markets Combined,3,1,1,1.0000,4,2,4,0.5000,,14,11,2022Q4
All Other Markets Combined,1,1,1,1.0000,2,2,2,1.0000,,39,38,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,50,50,2022Q4
All Other Markets Combined,10,1,1,1.0000,3,1,3,0.3333,,2,0,2022Q4
All Other Markets Combined,6,1,2,2.0000,3,4,4,1.0000,,4,1,2022Q4
All Other Markets Combined,2,2,1,0.5000,1,1,2,0.5000,,2,2,2022Q4
All Other Markets Combined,5,2,2,1.0000,2,4,8,0.5000,,12,6,2022Q4
All Other Markets Combined,22,2,1,0.5000,1,1,2,0.5000,,1,1,2022Q4
All Other Markets Combined,1,1,1,1.0000,18,14,26,0.5385,,136,111,2022Q4
All Other Markets Combined,2,4,1,0.2500,5,9,46,0.1957,,38,-4,2022Q4
All Other Markets Combined,3,4,5,1.2500,20,13,56,0.2321,0.8947,121,69,2023Q1
All Other Markets Combined,3,5,3,0.6000,2,5,23,0.2174,,30,12,2022Q4
All Other Markets Combined,3,5,3,0.6000,10,19,149,0.1275,,66,-78,2022Q4
All Other Markets Combined,3,6,4,0.6667,6,18,204,0.0882,,30,-168,2022Q4
All Other Markets Combined,3,5,2,0.4000,5,6,38,0.1579,,13,-20,2022Q4
All Other Markets Combined,4,2,2,1.0000,2,6,54,0.1111,,653,601,2022Q4
All Other Markets Combined,11,1,1,1.0000,3,3,3,1.0000,,7,5,2022Q4
All Other Markets Combined,1,4,5,1.2500,10,17,77,0.2208,,51,-22,2022Q4
All Other Markets Combined,1,4,2,0.5000,3,7,68,0.1029,,14,-50,2022Q4
All Other Markets Combined,8,1,1,1.0000,4,4,4,1.0000,2.0000,5,2,2023Q1
All Other Markets Combined,6,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,7,10,12,1.2000,8,37,434,0.0853,,50,-374,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,6,2,2,1.0000,1,2,4,0.5000,,0,-2,2022Q4
All Other Markets Combined,1,3,1,0.3333,2,3,9,0.3333,,3,-3,2022Q4
All Other Markets Combined,0,2,3,1.5000,1,3,6,0.5000,,0,-4,2022Q4
All Other Markets Combined,4,1,1,1.0000,12,5,25,0.2000,,19,-5,2022Q4
All Other Markets Combined,2,10,8,0.8000,3,16,280,0.0571,,1464,1194,2022Q4
All Other Markets Combined,16,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,12,6,6,1.0000,2,6,38,0.1579,,8,-24,2022Q4
All Other Markets Combined,2,1,1,1.0000,3,3,3,1.0000,,3,1,2022Q4
All Other Markets Combined,3,2,3,1.5000,17,16,94,0.1702,1.3125,129,37,2023Q1
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,3,1,1,1.0000,17,9,36,0.2500,0.5000,239,204,2022Q4
All Other Markets Combined,1,3,3,1.0000,2,5,13,0.3846,,5,-5,2022Q4
All Other Markets Combined,3,1,1,1.0000,10,4,10,0.4000,2.0000,18,9,2022Q4
All Other Markets Combined,5,4,4,1.0000,18,8,115,0.0696,,365,254,2022Q4
All Other Markets Combined,3,1,1,1.0000,2,1,2,0.5000,,2,1,2022Q4
All Other Markets Combined,2,1,1,1.0000,4,3,4,0.7500,1.0000,20,17,2022Q4
All Other Markets Combined,5,4,2,0.5000,4,5,20,0.2500,3.0000,61,45,2022Q4
All Other Markets Combined,2,1,1,1.0000,6,10,32,0.3125,2.5000,67,36,2022Q4
All Other Markets Combined,1,1,1,1.0000,2,2,2,1.0000,,1,0,2022Q4
All Other Markets Combined,5,4,3,0.7500,8,8,61,0.1311,,52,-5,2022Q4
All Other Markets Combined,17,3,2,0.6667,5,6,25,0.2400,1.5000,42,20,2023Q1
All Other Markets Combined,4,1,2,2.0000,1,2,2,1.0000,,2,1,2022Q4
All Other Markets Combined,4,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,0,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,6,3,2,0.6667,13,6,38,0.1579,2.0000,22,-13,2022Q4
All Other Markets Combined,30,3,2,0.6667,1,2,6,0.3333,,7,4,2023Q1
All Other Markets Combined,10,1,1,1.0000,2,1,2,0.5000,2.0000,9,8,2023Q1
All Other Markets Combined,0,1,1,1.0000,4,2,4,0.5000,1.0000,3,0,2023Q1
All Other Markets Combined,8,1,1,1.0000,20,7,23,0.3043,1.5714,204,182,2022Q4
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,6,3,5,1.6667,22,15,448,0.0335,1.2857,125,-320,2023Q1
All Other Markets Combined,3,2,1,0.5000,7,6,20,0.3000,1.1667,15,-3,2023Q1
All Other Markets Combined,3,2,2,1.0000,5,7,27,0.2593,7.2500,19,-6,2023Q1
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,3,1,1,1.0000,3,3,6,0.5000,1.5000,13,8,2023Q1
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,1,1,2023Q2
All Other Markets Combined,6,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,10,1,1,1.0000,4,3,17,0.1765,2.3333,7,-9,2023Q1
All Other Markets Combined,3,3,4,1.3333,3,7,17,0.4118,2.0000,15,1,2023Q2
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,24,2,1,0.5000,1,1,2,0.5000,,1,1,2023Q1
All Other Markets Combined,20,10,5,0.5000,55,39,793,0.0492,0.2037,344,-439,2023Q1
All Other Markets Combined,6,3,1,0.3333,4,3,11,0.2727,5.0000,8,0,2023Q1
All Other Markets Combined,6,4,3,0.7500,4,4,38,0.1053,5.6667,8,-26,2023Q1
All Other Markets Combined,7,1,1,1.0000,24,2,24,0.0833,1.2609,75,52,2023Q1
All Other Markets Combined,3,4,3,0.7500,6,11,101,0.1089,5.2000,86,-11,2023Q1
All Other Markets Combined,5,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q1
All Other Markets Combined,4,2,4,2.0000,5,6,12,0.5000,5.0000,4,-6,2023Q1
All Other Markets Combined,19,2,2,1.0000,7,5,28,0.1786,1.1667,13,-13,2023Q1
All Other Markets Combined,52,2,2,1.0000,13,7,83,0.0843,2.2500,280,199,2023Q1
All Other Markets Combined,19,2,2,1.0000,22,23,70,0.3286,0.2381,41,-27,2023Q1
All Other Markets Combined,44,1,1,1.0000,13,1,13,0.0769,1.4167,12,0,2023Q1
All Other Markets Combined,33,10,2,0.2000,1,2,20,0.1000,,0,-10,2023Q2
All Other Markets Combined,14,2,1,0.5000,2,1,4,0.2500,1.0000,4,2,2023Q1
All Other Markets Combined,2,2,1,0.5000,2,1,4,0.2500,1.0000,2,0,2023Q1
All Other Markets Combined,0,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,5,1,1,1.0000,18,1,18,0.0556,1.2353,29,12,2023Q1
All Other Markets Combined,6,1,1,1.0000,2,2,2,1.0000,1.0000,6,5,2023Q1
All Other Markets Combined,3,2,3,1.5000,10,10,75,0.1333,0.5556,82,9,2023Q1
All Other Markets Combined,3,3,3,1.0000,10,15,41,0.3659,0.6667,17,-21,2023Q1
All Other Markets Combined,4,1,2,2.0000,1,2,2,1.0000,,101,100,2023Q1
All Other Markets Combined,1,1,1,1.0000,5,3,5,0.6000,0.7500,21,17,2023Q1
All Other Markets Combined,6,2,4,2.0000,21,22,194,0.1134,1.1500,139,-53,2023Q1
All Other Markets Combined,2,1,1,1.0000,3,1,3,0.3333,10.0000,4,2,2023Q1
All Other Markets Combined,9,4,3,0.7500,9,8,42,0.1905,0.2500,16,-22,2023Q1
All Other Markets Combined,4,3,1,0.3333,3,3,13,0.2308,0.0000,7,-3,2023Q1
All Other Markets Combined,9,2,3,1.5000,5,3,17,0.1765,1.7500,9,-6,2023Q1
All Other Markets Combined,5,3,3,1.0000,1,3,9,0.3333,,8,2,2023Q1
All Other Markets Combined,8,6,5,0.8333,1,5,30,0.1667,,0,-24,2023Q1
All Other Markets Combined,8,5,6,1.2000,5,25,130,0.1923,5.5000,100,-25,2023Q1
All Other Markets Combined,5,1,2,2.0000,2,3,3,1.0000,1.0000,83,81,2023Q1
All Other Markets Combined,3,2,2,1.0000,5,5,11,0.4545,4.7500,8,-1,2023Q2
All Other Markets Combined,1,1,1,1.0000,3,2,3,0.6667,0.5000,12,10,2023Q2
All Other Markets Combined,1,3,3,1.0000,2,4,15,0.2667,3.0000,3,-9,2023Q1
All Other Markets Combined,3,1,1,1.0000,15,5,22,0.2273,1.9286,23,2,2023Q1
All Other Markets Combined,1,2,1,0.5000,16,11,153,0.0719,1.6667,179,28,2023Q1
All Other Markets Combined,5,1,1,1.0000,3,2,3,0.6667,2.0000,6,4,2023Q1
All Other Markets Combined,0,2,1,0.5000,1,1,2,0.5000,,1,1,2023Q1
All Other Markets Combined,0,1,1,1.0000,2,2,2,1.0000,21.0000,1,0,2023Q1
All Other Markets Combined,1,2,2,1.0000,6,9,20,0.4500,0.2000,23,5,2023Q1
All Other Markets Combined,5,1,1,1.0000,1,1,1,1.0000,,2,2,2023Q1
All Other Markets Combined,2,1,1,1.0000,5,4,5,0.8000,6.2500,10,6,2023Q1
All Other Markets Combined,2,2,2,1.0000,5,9,32,0.2813,3.2500,13,-17,2023Q1
All Other Markets Combined,1,4,5,1.2500,7,9,124,0.0726,1.1667,26,-94,2023Q1
All Other Markets Combined,5,2,2,1.0000,53,20,165,0.1212,0.3077,556,393,2023Q1
All Other Markets Combined,4,9,6,0.6667,27,18,1561,0.0115,1.0769,1061,-491,2023Q2
All Other Markets Combined,6,1,1,1.0000,5,3,5,0.6000,7.0000,5,1,2023Q1
All Other Markets Combined,2,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q2
All Other Markets Combined,5,1,1,1.0000,1,1,1,1.0000,,1,1,2023Q1
All Other Markets Combined,3,2,1,0.5000,2,2,3,0.6667,1.0000,3,2,2023Q1
All Other Markets Combined,7,2,2,1.0000,3,4,11,0.3636,7.0000,18,9,2023Q1
All Other Markets Combined,2,2,3,1.5000,2,4,10,0.4000,1.0000,26,18,2023Q2
