csa_name_mod2,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,worked_shifts_f30d,head_count_f30d,fill_rate_f30d,avg_days_between_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start
All Other Markets Combined,20,5,5,1.0000,70,60,1066,0.0563,0.0725,480,-581,2023Q1
All Other Markets Combined,22,2,2,1.0000,18,14,45,0.3111,0.0588,27,-16,2023Q2
All Other Markets Combined,1,2,3,1.5000,2,4,7,0.5714,7.0000,5,0,2023Q1
All Other Markets Combined,4,1,2,2.0000,5,10,31,0.3226,0.5000,8,-22,2023Q1
All Other Markets Combined,2,1,1,1.0000,13,19,305,0.0623,2.2500,216,-88,2023Q1
All Other Markets Combined,2,2,2,1.0000,3,8,19,0.4211,14.0000,18,1,2023Q2
All Other Markets Combined,6,6,4,0.6667,1,4,24,0.1667,,12,-6,2023Q2
All Other Markets Combined,4,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q2
All Other Markets Combined,13,3,2,0.6667,2,4,10,0.4000,0.0000,2,-5,2023Q2
All Other Markets Combined,4,1,1,1.0000,22,1,22,0.0455,1.3333,336,315,2023Q1
All Other Markets Combined,4,7,4,0.5714,3,10,142,0.0704,13.5000,114,-21,2023Q1
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,4,4,2023Q2
All Other Markets Combined,0,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,4,1,1,1.0000,6,5,9,0.5556,4.6000,7,-1,2023Q1
All Other Markets Combined,1,3,3,1.0000,20,16,269,0.0595,1.2632,104,-162,2023Q1
All Other Markets Combined,3,4,3,0.7500,8,6,42,0.1429,3.2857,17,-21,2023Q1
All Other Markets Combined,3,5,4,0.8000,16,13,197,0.0660,1.4667,48,-144,2023Q1
All Other Markets Combined,3,2,2,1.0000,1,2,4,0.5000,,4,2,2023Q1
All Other Markets Combined,1,4,2,0.5000,3,4,10,0.4000,0.0000,2,-4,2023Q1
All Other Markets Combined,6,1,1,1.0000,2,1,2,0.5000,7.0000,5,4,2023Q2
All Other Markets Combined,4,3,4,1.3333,8,9,37,0.2432,2.2857,16,-18,2023Q2
All Other Markets Combined,1,1,2,2.0000,13,6,14,0.4286,1.9167,27,14,2023Q1
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,6,1,1,1.0000,2,1,2,0.5000,1.0000,21,20,2023Q2
All Other Markets Combined,22,2,2,1.0000,3,5,11,0.4545,0.0000,5,-4,2023Q2
All Other Markets Combined,1,1,1,1.0000,15,3,18,0.1667,2.0000,452,435,2023Q2
All Other Markets Combined,2,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q2
All Other Markets Combined,17,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,1,2,2,1.0000,3,8,75,0.1067,0.5000,11,-62,2023Q2
All Other Markets Combined,3,1,1,1.0000,3,3,3,1.0000,1.0000,2,0,2023Q2
All Other Markets Combined,1,2,2,1.0000,22,3,84,0.0357,1.2381,326,244,2023Q2
All Other Markets Combined,8,2,2,1.0000,39,17,72,0.2361,0.3684,127,57,2023Q2
All Other Markets Combined,6,1,1,1.0000,4,1,4,0.2500,1.0000,3,0,2023Q2
All Other Markets Combined,8,2,4,2.0000,4,8,20,0.4000,0.3333,5,-13,2023Q2
All Other Markets Combined,7,1,1,1.0000,5,6,10,0.6000,3.7500,5,-4,2023Q2
All Other Markets Combined,10,6,9,1.5000,4,18,145,0.1241,0.6667,13,-126,2023Q2
All Other Markets Combined,12,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q2
All Other Markets Combined,3,8,9,1.1250,3,13,184,0.0707,0.0000,16,-160,2023Q2
All Other Markets Combined,6,1,1,1.0000,3,3,3,1.0000,2.0000,4,2,2023Q2
All Other Markets Combined,3,1,1,1.0000,3,4,11,0.3636,13.5000,9,-1,2023Q2
All Other Markets Combined,7,1,1,1.0000,2,1,2,0.5000,7.0000,4,3,2023Q2
All Other Markets Combined,2,4,5,1.2500,3,5,41,0.1220,0.5000,6,-31,2023Q2
All Other Markets Combined,5,4,3,0.7500,5,13,176,0.0739,1.5000,24,-148,2023Q2
All Other Markets Combined,5,2,2,1.0000,4,6,11,0.5455,4.6667,10,1,2023Q2
All Other Markets Combined,9,10,10,1.0000,5,17,422,0.0403,1.0000,44,-368,2023Q2
All Other Markets Combined,8,1,1,1.0000,7,3,7,0.4286,3.5000,21,15,2023Q2
All Other Markets Combined,5,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,4,1,1,1.0000,10,2,10,0.2000,2.6667,32,23,2023Q2
All Other Markets Combined,3,1,1,1.0000,17,4,24,0.1667,1.2500,27,4,2023Q2
All Other Markets Combined,4,5,5,1.0000,4,10,117,0.0855,0.6667,133,21,2023Q2
All Other Markets Combined,5,1,1,1.0000,8,2,8,0.2500,2.1429,7,0,2023Q2
All Other Markets Combined,6,1,1,1.0000,3,1,3,0.3333,3.5000,3,1,2023Q2
All Other Markets Combined,1,1,1,1.0000,2,2,2,1.0000,23.0000,59,58,2023Q2
All Other Markets Combined,7,5,5,1.0000,4,7,50,0.1400,0.6667,8,-37,2023Q2
All Other Markets Combined,9,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q2
All Other Markets Combined,2,1,1,1.0000,7,4,8,0.5000,4.0000,11,4,2023Q2
All Other Markets Combined,5,1,1,1.0000,7,1,7,0.1429,3.5000,13,7,2023Q2
All Other Markets Combined,30,10,9,0.9000,5,19,228,0.0833,6.5000,35,-183,2023Q2
All Other Markets Combined,3,2,2,1.0000,4,6,16,0.3750,5.6667,14,0,2023Q2
All Other Markets Combined,32,2,2,1.0000,1,2,4,0.5000,,11,9,2023Q2
All Other Markets Combined,1,4,4,1.0000,2,5,17,0.2941,7.0000,2,-11,2023Q2
All Other Markets Combined,8,2,3,1.5000,6,9,19,0.4737,4.6000,12,-5,2023Q2
All Other Markets Combined,1,4,4,1.0000,17,28,128,0.2188,0.0000,32,-92,2023Q2
All Other Markets Combined,9,1,1,1.0000,2,2,2,1.0000,7.0000,2,1,2023Q2
All Other Markets Combined,4,5,1,0.2000,6,1,10,0.1000,1.2000,7,2,2023Q2
All Other Markets Combined,6,1,1,1.0000,1,1,1,1.0000,,2,2,2023Q2
All Other Markets Combined,4,2,2,1.0000,9,6,34,0.1765,1.1250,16,-16,2023Q2
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,2,2,2023Q2
All Other Markets Combined,5,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,1,1,1,1.0000,16,9,18,0.5000,1.3333,27,10,2023Q2
All Other Markets Combined,11,1,1,1.0000,4,4,10,0.4000,2.0000,11,2,2023Q2
All Other Markets Combined,1,4,4,1.0000,2,5,18,0.2778,0.0000,2,-12,2023Q2
All Other Markets Combined,23,7,5,0.7143,1,5,35,0.1429,,0,-28,2023Q2
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,7,2,1,0.5000,2,1,3,0.3333,1.0000,1,0,2023Q2
All Other Markets Combined,7,1,1,1.0000,13,14,88,0.1591,2.3333,421,334,2023Q2
All Other Markets Combined,6,2,2,1.0000,1,2,4,0.5000,,18,16,2023Q2
All Other Markets Combined,2,1,1,1.0000,2,1,2,0.5000,0.0000,1,0,2023Q2
All Other Markets Combined,1,4,5,1.2500,3,9,41,0.2195,14.0000,46,9,2023Q2
All Other Markets Combined,12,1,2,2.0000,14,8,20,0.4000,1.9231,16,-3,2023Q2
All Other Markets Combined,3,2,2,1.0000,2,6,16,0.3750,5.0000,3,-11,2023Q2
All Other Markets Combined,4,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q2
All Other Markets Combined,3,3,5,1.6667,14,20,101,0.1980,2.0000,115,17,2023Q2
All Other Markets Combined,5,10,1,0.1000,3,3,39,0.0769,0.0000,15,-14,2023Q2
All Other Markets Combined,2,2,1,0.5000,11,10,28,0.3571,2.7000,63,37,2023Q2
All Other Markets Combined,1,1,1,1.0000,4,2,4,0.5000,2.0000,3,0,2023Q2
All Other Markets Combined,9,3,1,0.3333,3,5,13,0.3846,2.0000,160,150,2023Q2
All Other Markets Combined,2,8,4,0.5000,1,4,32,0.1250,,74,50,2023Q2
All Other Markets Combined,7,2,1,0.5000,29,12,100,0.1200,0.7143,219,121,2023Q2
All Other Markets Combined,3,2,3,1.5000,7,6,30,0.2000,1.0000,13,-15,2023Q2
All Other Markets Combined,5,2,3,1.5000,5,6,10,0.6000,6.7500,46,38,2023Q2
All Other Markets Combined,13,3,2,0.6667,3,4,14,0.2857,13.5000,76,65,2023Q2
All Other Markets Combined,6,1,1,1.0000,4,4,12,0.3333,1.0000,10,-1,2023Q2
All Other Markets Combined,5,2,2,1.0000,21,6,74,0.0811,1.4500,254,182,2023Q2
All Other Markets Combined,5,3,3,1.0000,17,13,101,0.1287,1.6875,42,-56,2023Q2
All Other Markets Combined,0,1,1,1.0000,2,1,2,0.5000,2.0000,1,0,2023Q2
All Other Markets Combined,3,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q2
All Other Markets Combined,4,2,1,0.5000,4,1,6,0.1667,1.0000,4,0,2023Q2
All Other Markets Combined,1,2,3,1.5000,5,7,43,0.1628,1.7500,11,-30,2023Q2
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,4,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,9,2,2,1.0000,6,5,10,0.5000,2.6000,82,74,2023Q2
All Other Markets Combined,3,6,6,1.0000,19,13,294,0.0442,1.6111,223,-65,2023Q2
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,2,2,2023Q2
All Other Markets Combined,10,1,1,1.0000,1,1,1,1.0000,,7,7,2023Q2
All Other Markets Combined,2,2,2,1.0000,1,2,4,0.5000,,4,2,2023Q2
All Other Markets Combined,4,3,2,0.6667,1,2,6,0.3333,,0,-3,2023Q2
All Other Markets Combined,1,1,1,1.0000,2,2,3,0.6667,0.0000,19,17,2023Q2
All Other Markets Combined,5,1,1,1.0000,5,1,5,0.2000,1.0000,9,5,2023Q2
All Other Markets Combined,5,2,3,1.5000,4,7,18,0.3889,8.6667,48,32,2023Q2
All Other Markets Combined,7,2,3,1.5000,4,7,20,0.3500,2.3333,6,-12,2023Q2
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
All Other Markets Combined,8,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q2
All Other Markets Combined,1,4,3,0.7500,7,13,78,0.1667,2.3333,22,-52,2023Q2
All Other Markets Combined,6,3,1,0.3333,1,1,3,0.3333,,0,0,2023Q2
All Other Markets Combined,3,4,2,0.5000,13,12,92,0.1304,1.5000,48,-40,2023Q2
All Other Markets Combined,3,3,2,0.6667,4,5,16,0.3125,9.3333,16,3,2023Q2
All Other Markets Combined,1,3,2,0.6667,6,7,45,0.1556,2.0000,13,-29,2023Q2
All Other Markets Combined,5,5,3,0.6000,15,10,145,0.0690,2.0714,82,-58,2023Q2
All Other Markets Combined,1,5,3,0.6000,2,5,27,0.1852,4.0000,14,-8,2023Q2
All Other Markets Combined,4,2,3,1.5000,25,10,105,0.0952,1.2083,60,-43,2023Q2
All Other Markets Combined,2,2,2,1.0000,2,3,6,0.5000,1.0000,2,-2,2023Q2
All Other Markets Combined,4,3,4,1.3333,2,4,18,0.2222,1.0000,2,-13,2023Q2
"Dallas-Fort Worth, TX-OK",5,1,1,1.0000,18,2,18,0.1111,,27,10,2022Q4
"Dallas-Fort Worth, TX-OK",15,1,1,1.0000,2,2,2,1.0000,1.0000,3,2,2023Q1
"Dallas-Fort Worth, TX-OK",7,6,6,1.0000,2,9,45,0.2000,,3,-36,2022Q3
"Dallas-Fort Worth, TX-OK",1,4,5,1.2500,30,39,252,0.1548,0.8276,108,-140,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,1,2,4,0.5000,,5,3,2022Q3
"Dallas-Fort Worth, TX-OK",3,3,2,0.6667,26,6,97,0.0619,1.1200,94,0,2023Q2
"Dallas-Fort Worth, TX-OK",11,2,2,1.0000,2,3,5,0.6000,,3,0,2022Q3
"Dallas-Fort Worth, TX-OK",5,2,1,0.5000,8,3,14,0.2143,,12,0,2022Q3
"Dallas-Fort Worth, TX-OK",16,2,1,0.5000,89,34,164,0.2073,,947,785,2022Q3
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,6,1,6,0.1667,,221,216,2022Q4
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,3,1,3,0.3333,,3,1,2022Q3
"Dallas-Fort Worth, TX-OK",14,3,2,0.6667,13,10,50,0.2000,,46,-1,2022Q3
"Dallas-Fort Worth, TX-OK",4,1,1,1.0000,3,3,3,1.0000,,2,0,2022Q3
"Dallas-Fort Worth, TX-OK",4,2,3,1.5000,1,3,6,0.5000,,3,-1,2022Q4
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
"Dallas-Fort Worth, TX-OK",5,1,1,1.0000,20,17,38,0.4474,,255,218,2022Q3
"Dallas-Fort Worth, TX-OK",5,3,3,1.0000,4,6,46,0.1304,,51,8,2022Q3
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,3,3,3,1.0000,,3,1,2022Q3
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,49,14,102,0.1373,,1340,1240,2022Q3
"Dallas-Fort Worth, TX-OK",1,2,3,1.5000,35,18,751,0.0240,,515,-234,2022Q3
"Dallas-Fort Worth, TX-OK",4,3,4,1.3333,4,8,42,0.1905,,12,-27,2022Q3
"Dallas-Fort Worth, TX-OK",2,4,4,1.0000,36,19,258,0.0736,,246,-8,2022Q3
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,6,1,6,0.1667,,18,13,2022Q3
"Dallas-Fort Worth, TX-OK",7,2,2,1.0000,57,11,76,0.1447,,114,40,2022Q3
"Dallas-Fort Worth, TX-OK",6,2,1,0.5000,23,12,50,0.2400,,48,0,2022Q3
"Dallas-Fort Worth, TX-OK",0,1,2,2.0000,20,6,31,0.1935,,327,297,2022Q3
"Dallas-Fort Worth, TX-OK",5,2,2,1.0000,1,2,4,0.5000,,3,1,2022Q3
"Dallas-Fort Worth, TX-OK",6,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
"Dallas-Fort Worth, TX-OK",4,2,2,1.0000,12,15,64,0.2344,,73,11,2022Q4
"Dallas-Fort Worth, TX-OK",0,1,2,2.0000,1,2,2,1.0000,,4,3,2022Q3
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,14,15,30,0.5000,,210,181,2022Q3
"Dallas-Fort Worth, TX-OK",2,1,1,1.0000,5,2,5,0.4000,,8,4,2022Q3
"Dallas-Fort Worth, TX-OK",0,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
"Dallas-Fort Worth, TX-OK",0,1,1,1.0000,10,13,28,0.4643,,21,-6,2022Q3
"Dallas-Fort Worth, TX-OK",4,2,2,1.0000,1,2,4,0.5000,,7,5,2022Q4
"Dallas-Fort Worth, TX-OK",3,4,4,1.0000,6,9,81,0.1111,,34,-43,2022Q4
"Dallas-Fort Worth, TX-OK",4,1,1,1.0000,18,18,26,0.6923,,291,266,2022Q3
"Dallas-Fort Worth, TX-OK",5,2,3,1.5000,24,20,170,0.1176,,78,-90,2022Q3
"Dallas-Fort Worth, TX-OK",9,1,1,1.0000,5,3,5,0.6000,,12,8,2022Q4
"Dallas-Fort Worth, TX-OK",12,2,2,1.0000,4,6,8,0.7500,,3,-3,2022Q4
"Dallas-Fort Worth, TX-OK",3,3,2,0.6667,9,10,18,0.5556,,244,229,2022Q4
"Dallas-Fort Worth, TX-OK",7,1,1,1.0000,4,1,4,0.2500,,3,0,2022Q4
"Dallas-Fort Worth, TX-OK",218,2,2,1.0000,14,15,63,0.2381,1.9231,54,-7,2023Q2
"Dallas-Fort Worth, TX-OK",4,1,1,1.0000,4,4,4,1.0000,,32,29,2022Q4
"Dallas-Fort Worth, TX-OK",7,2,2,1.0000,19,11,73,0.1507,0.5000,133,62,2022Q4
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,1,2,4,0.5000,,9,7,2022Q4
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,5,3,7,0.4286,,6,0,2022Q4
"Dallas-Fort Worth, TX-OK",10,1,2,2.0000,4,4,5,0.8000,,7,3,2022Q4
"Dallas-Fort Worth, TX-OK",7,3,3,1.0000,3,4,21,0.1905,1.0000,5,-13,2023Q1
"Dallas-Fort Worth, TX-OK",0,6,1,0.1667,14,22,172,0.1279,,218,52,2022Q4
"Dallas-Fort Worth, TX-OK",0,3,5,1.6667,8,21,71,0.2958,,223,155,2022Q4
"Dallas-Fort Worth, TX-OK",0,1,1,1.0000,3,4,5,0.8000,,7,3,2022Q4
"Dallas-Fort Worth, TX-OK",4,1,1,1.0000,3,1,3,0.3333,,3,1,2022Q4
"Dallas-Fort Worth, TX-OK",3,2,2,1.0000,2,2,8,0.2500,,99,93,2022Q4
"Dallas-Fort Worth, TX-OK",1,2,1,0.5000,3,3,4,0.7500,,2,0,2022Q4
"Dallas-Fort Worth, TX-OK",11,10,6,0.6000,2,9,85,0.1059,,5,-70,2022Q4
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,18,1,18,0.0556,1.2857,176,159,2022Q4
"Dallas-Fort Worth, TX-OK",0,2,2,1.0000,1,2,4,0.5000,,2,0,2022Q4
"Dallas-Fort Worth, TX-OK",29,2,1,0.5000,3,3,5,0.6000,1.5000,15,12,2023Q1
"Dallas-Fort Worth, TX-OK",0,1,1,1.0000,2,1,2,0.5000,,1,0,2022Q4
"Dallas-Fort Worth, TX-OK",0,2,1,0.5000,13,11,26,0.4231,1.5000,143,119,2023Q1
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,2,1,2,0.5000,1.0000,2,1,2023Q1
"Dallas-Fort Worth, TX-OK",1,3,3,1.0000,1,3,9,0.3333,,0,-6,2023Q1
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,52,14,119,0.1176,0.5294,467,350,2023Q1
"Dallas-Fort Worth, TX-OK",8,22,20,0.9091,9,49,961,0.0510,1.8750,110,-829,2023Q1
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,5,5,5,1.0000,5.5000,55,51,2023Q1
"Dallas-Fort Worth, TX-OK",29,1,2,2.0000,1,2,2,1.0000,,3,2,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,1,2,4,0.5000,,4,2,2023Q1
"Dallas-Fort Worth, TX-OK",3,2,2,1.0000,20,11,313,0.0351,1.4737,186,-125,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,3,4,6,0.6667,9.0000,22,18,2023Q1
"Dallas-Fort Worth, TX-OK",15,1,1,1.0000,3,3,3,1.0000,7.0000,3,1,2023Q1
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,5,3,9,0.3333,3.5000,4,-3,2023Q1
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,5,2,5,0.4000,1.2500,4,0,2023Q1
"Dallas-Fort Worth, TX-OK",12,2,2,1.0000,6,4,22,0.1818,3.4000,10,-10,2023Q1
"Dallas-Fort Worth, TX-OK",10,1,1,1.0000,22,10,24,0.4167,0.9524,82,59,2023Q1
"Dallas-Fort Worth, TX-OK",3,3,3,1.0000,10,7,41,0.1707,0.6667,26,-12,2023Q1
"Dallas-Fort Worth, TX-OK",3,3,2,0.6667,4,3,18,0.1667,0.6667,12,-3,2023Q1
"Dallas-Fort Worth, TX-OK",4,1,2,2.0000,6,6,11,0.5455,1.2000,9,-1,2023Q1
"Dallas-Fort Worth, TX-OK",0,2,1,0.5000,1,1,2,0.5000,,4,4,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,5,9,32,0.2813,3.2500,13,-17,2023Q1
"Dallas-Fort Worth, TX-OK",14,2,1,0.5000,2,5,18,0.2778,7.0000,6,-10,2023Q1
"Dallas-Fort Worth, TX-OK",7,1,1,1.0000,5,4,5,0.8000,1.0000,669,665,2023Q1
"Dallas-Fort Worth, TX-OK",58,4,4,1.0000,25,26,429,0.0606,1.2083,125,-300,2023Q2
"Dallas-Fort Worth, TX-OK",6,2,2,1.0000,23,8,130,0.0615,1.2727,523,395,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q1
"Dallas-Fort Worth, TX-OK",11,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q1
"Dallas-Fort Worth, TX-OK",50,3,2,0.6667,11,12,27,0.4444,2.0000,16,-8,2023Q2
"Dallas-Fort Worth, TX-OK",5,2,2,1.0000,2,3,8,0.3750,6.0000,4,-2,2023Q1
"Dallas-Fort Worth, TX-OK",2,2,3,1.5000,12,14,30,0.4667,2.4545,19,-9,2023Q1
"Dallas-Fort Worth, TX-OK",7,1,1,1.0000,8,2,8,0.2500,2.5714,106,99,2023Q1
"Dallas-Fort Worth, TX-OK",2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Dallas-Fort Worth, TX-OK",9,1,1,1.0000,13,11,61,0.1803,1.9167,211,151,2023Q2
"Dallas-Fort Worth, TX-OK",1,2,3,1.5000,19,10,56,0.1786,1.6111,57,3,2023Q1
"Dallas-Fort Worth, TX-OK",3,1,2,2.0000,3,2,4,0.5000,2.0000,2,-1,2023Q1
"Dallas-Fort Worth, TX-OK",25,1,1,1.0000,3,5,5,1.0000,13.5000,25,21,2023Q2
"Dallas-Fort Worth, TX-OK",5,1,1,1.0000,4,5,5,1.0000,9.0000,34,30,2023Q1
"Dallas-Fort Worth, TX-OK",5,1,1,1.0000,1,1,1,1.0000,,1,1,2023Q2
"Dallas-Fort Worth, TX-OK",1,6,4,0.6667,8,4,65,0.0615,1.0000,18,-41,2023Q1
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,2,2,4,0.5000,2.0000,3,0,2023Q1
"Dallas-Fort Worth, TX-OK",7,4,3,0.7500,5,9,43,0.2093,4.0000,11,-28,2023Q2
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,1,2,4,0.5000,,0,-2,2023Q1
"Dallas-Fort Worth, TX-OK",3,2,2,1.0000,6,6,10,0.6000,1.2000,6,-2,2023Q2
"Dallas-Fort Worth, TX-OK",1,3,1,0.3333,31,7,479,0.0146,0.9667,586,110,2023Q2
"Dallas-Fort Worth, TX-OK",0,1,1,1.0000,3,3,3,1.0000,9.5000,4,2,2023Q2
"Dallas-Fort Worth, TX-OK",2,13,12,0.9231,2,19,325,0.0585,1.0000,13,-299,2023Q2
"Dallas-Fort Worth, TX-OK",5,1,1,1.0000,8,7,13,0.5385,0.4286,12,0,2023Q2
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,15,12,20,0.6000,1.2143,26,8,2023Q2
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,22,40,150,0.2667,0.2857,49,-99,2023Q2
"Dallas-Fort Worth, TX-OK",3,2,2,1.0000,1,2,4,0.5000,,11,9,2023Q2
"Dallas-Fort Worth, TX-OK",2,3,2,0.6667,2,3,7,0.4286,1.0000,1,-3,2023Q2
"Dallas-Fort Worth, TX-OK",5,2,2,1.0000,8,2,11,0.1818,1.1429,7,-2,2023Q2
"Dallas-Fort Worth, TX-OK",2,2,2,1.0000,3,7,14,0.5000,5.5000,7,-5,2023Q2
"Dallas-Fort Worth, TX-OK",1,3,3,1.0000,1,3,9,0.3333,,0,-6,2023Q2
"Dallas-Fort Worth, TX-OK",2,3,4,1.3333,2,6,16,0.3750,22.0000,2,-11,2023Q2
"Dallas-Fort Worth, TX-OK",3,1,2,2.0000,4,6,15,0.4000,1.3333,6,-8,2023Q2
"Dallas-Fort Worth, TX-OK",6,1,1,1.0000,3,1,3,0.3333,1.0000,9,7,2023Q2
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Dallas-Fort Worth, TX-OK",7,8,12,1.5000,3,21,201,0.1045,0.5000,11,-182,2023Q2
"Dallas-Fort Worth, TX-OK",11,3,4,1.3333,1,4,12,0.3333,,1,-8,2023Q2
"Dallas-Fort Worth, TX-OK",2,1,1,1.0000,6,4,6,0.6667,5.6000,8,3,2023Q2
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,2,1,2,0.5000,3.0000,2,1,2023Q2
"Dallas-Fort Worth, TX-OK",19,4,4,1.0000,3,9,48,0.1875,1.0000,8,-36,2023Q2
"Dallas-Fort Worth, TX-OK",1,1,1,1.0000,2,1,2,0.5000,3.0000,1,0,2023Q2
"Dallas-Fort Worth, TX-OK",3,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Dallas-Fort Worth, TX-OK",1,2,3,1.5000,1,3,6,0.5000,,0,-4,2023Q2
"Dallas-Fort Worth, TX-OK",1,3,3,1.0000,16,23,179,0.1285,1.7333,104,-72,2023Q2
"Dallas-Fort Worth, TX-OK",1,2,2,1.0000,3,4,15,0.2667,1.0000,5,-8,2023Q2
"Las Vegas-Henderson, NV",14,8,10,1.2500,1,10,80,0.1250,,4,-68,2022Q3
"Las Vegas-Henderson, NV",4,2,3,1.5000,9,15,56,0.2679,,18,-36,2022Q4
"Las Vegas-Henderson, NV",2,1,1,1.0000,22,3,41,0.0732,,84,44,2022Q3
"Las Vegas-Henderson, NV",3,4,4,1.0000,118,47,757,0.0621,,4564,3811,2022Q3
"Las Vegas-Henderson, NV",12,2,2,1.0000,4,2,13,0.1538,,14,3,2022Q3
"Las Vegas-Henderson, NV",2,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
"Las Vegas-Henderson, NV",30,1,1,1.0000,2,2,2,1.0000,,122,121,2022Q3
"Las Vegas-Henderson, NV",6,4,4,1.0000,12,35,484,0.0723,,942,462,2022Q3
"Las Vegas-Henderson, NV",2,3,2,0.6667,2,5,18,0.2778,,23,8,2022Q4
"Las Vegas-Henderson, NV",1,1,1,1.0000,4,4,5,0.8000,,8,4,2022Q4
"Las Vegas-Henderson, NV",6,2,3,1.5000,7,12,46,0.2609,,36,-8,2022Q3
"Las Vegas-Henderson, NV",0,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
"Las Vegas-Henderson, NV",7,1,1,1.0000,12,2,12,0.1667,,12,1,2022Q3
"Las Vegas-Henderson, NV",1,1,1,1.0000,8,17,101,0.1683,,137,37,2022Q3
"Las Vegas-Henderson, NV",6,1,1,1.0000,5,4,6,0.6667,,6,1,2022Q3
"Las Vegas-Henderson, NV",3,5,4,0.8000,2,5,26,0.1923,1.0000,3,-18,2023Q2
"Las Vegas-Henderson, NV",1,2,2,1.0000,3,4,12,0.3333,,4,-6,2022Q4
"Las Vegas-Henderson, NV",0,7,6,0.8571,44,76,4460,0.0170,,1558,-2895,2022Q4
"Las Vegas-Henderson, NV",7,6,2,0.3333,1,2,12,0.1667,,0,-6,2022Q4
"Las Vegas-Henderson, NV",1,2,2,1.0000,1,2,4,0.5000,,1,-1,2022Q4
"Las Vegas-Henderson, NV",7,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Las Vegas-Henderson, NV",6,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Las Vegas-Henderson, NV",2,5,6,1.2000,3,8,60,0.1333,,10,-45,2022Q4
"Las Vegas-Henderson, NV",1,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Las Vegas-Henderson, NV",5,1,1,1.0000,13,10,14,0.7143,,14,1,2022Q4
