csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
"Las Vegas-Henderson, NV",4565,SainStore,30,1,1,1.0,2,122,121,2022Q3,2,2,1.0,2,5.0,"Las Vegas-Henderson, NV",SainStore,26.0,26.0,1.0,Warehouse,1.025,15.175,14.9333,1055.35,13.5652,41.0,2022Q3
All Other Markets Combined,4569,Bridging Bloomington,4,1,1,1.0,19,232,163,2022Q3,36,70,0.5143,19,1.5556,All Other Markets Combined,Bridging Bloomington,115.0,116.0,0.9914,Warehouse,1.0413,20.0,24.7381,5077.41,2.6944,126.0,2022Q3
All Other Markets Combined,4570,NoteWorthy Warehousing & Logistics,1,1,2,2.0,1,9,8,2022Q3,2,2,1.0,1,,All Other Markets Combined,NoteWorthy Warehousing & Logistics,6.0,9.0,0.6667,Warehouse,3.0,16.0,1.3333,143.32,50.5,9.0,2022Q3
All Other Markets Combined,4572,Naturissimo,7,2,1,0.5,2,3,2,2022Q3,2,3,0.6667,2,1.0,All Other Markets Combined,Naturissimo,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4574,All City Event Rentals,1,4,5,1.25,11,49,-209,2022Q3,46,262,0.1756,11,0.6,"Salt Lake City-Provo-Orem, UT",All City Event Rentals,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4576,Gabb Wireless,4,7,7,1.0,24,329,-1155,2022Q3,166,1491,0.1113,24,1.2609,"Salt Lake City-Provo-Orem, UT",Gabb Wireless,,,,Technology,,,8.5714,,,,2022Q3
All Other Markets Combined,4579,Tablescapes Event Rentals,7,2,2,1.0,24,60,7,2022Q3,32,55,0.5818,24,1.087,All Other Markets Combined,Tablescapes Event Rentals,,,,,,,,,,,2022Q3
All Other Markets Combined,4581,Farmer Frank's,1,1,1,1.0,2,3,2,2022Q3,2,2,1.0,2,1.0,All Other Markets Combined,Farmer Frank's,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4583,Little Bipsy,4,3,4,1.3333,4,12,-27,2022Q3,14,42,0.3333,4,1.0,"Dallas-Fort Worth, TX-OK",Little Bipsy,,,,,,,,,,,2022Q3
All Other Markets Combined,4590,1-800 WATER DAMAGE (Detroit),1,2,2,1.0,4,6,1,2022Q3,5,7,0.7143,4,1.6667,All Other Markets Combined,1-800 WATER DAMAGE (Detroit),,,,,,,,,,,2022Q3
"Las Vegas-Henderson, NV",4593,FreshWata LLC,6,4,4,1.0,12,942,462,2022Q3,80,484,0.1653,12,2.5455,"Las Vegas-Henderson, NV",FreshWata LLC,476.0,526.0,0.9049,Events,2.4631,17.039408866995075,5.6144,23334.41,1.4171,500.0,2022Q3
All Other Markets Combined,4611,Cryomaxusa,3,1,1,1.0,10,22,3,2022Q3,14,20,0.7,10,3.2222,All Other Markets Combined,Cryomaxusa,5.0,5.0,1.0,Warehouse,1.0,15.0,93.1111,135.72,1.5,5.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4620,MityLite,5,3,3,1.0,3,388,377,2022Q3,6,14,0.4286,3,7.0,"Salt Lake City-Provo-Orem, UT",MityLite,372.0,416.0,0.8942,Manufacturing,3.0325,16.5,5.0625,11656.1,2.4958,373.0,2022Q3
All Other Markets Combined,4621,Portal Warehousing Tempe,10,1,1,1.0,1,8,8,2022Q3,1,1,1.0,1,,All Other Markets Combined,Portal Warehousing Tempe,2.0,4.0,0.5,Warehouse,4.0,20.0,190.0,29.61,,4.0,2022Q3
All Other Markets Combined,4624,Impressive Home Staging,16,1,1,1.0,1,72,72,2022Q3,1,1,1.0,1,,All Other Markets Combined,Impressive Home Staging,35.0,37.0,0.9459,Warehouse,1.125,18.0,3.907,1657.57,4.2,36.0,2022Q3
"Dallas-Fort Worth, TX-OK",4628,"DOT IT RESTAURANT FULFILLMENT, LLC",2,4,4,1.0,36,246,-8,2022Q3,88,258,0.3411,36,0.8286,"Dallas-Fort Worth, TX-OK","DOT IT RESTAURANT FULFILLMENT, LLC",,,,,,,,,,,2022Q3
All Other Markets Combined,4631,Honey Baked Ham (Buford),102,4,2,0.5,8,48,-128,2022Q4,33,180,0.1833,8,0.5714,All Other Markets Combined,Honey Baked Ham (Buford),,,,,,,,,,,2022Q4
All Other Markets Combined,4636,Honey Baked Ham (Alpharetta),11,3,3,1.0,1,0,-6,2022Q4,3,9,0.3333,1,,All Other Markets Combined,Honey Baked Ham (Alpharetta),,,,Food Services,,,29.0,,,,2022Q4
All Other Markets Combined,4642,Point Burger Bar- Pewaukee,3,2,2,1.0,3,4,-8,2022Q3,7,14,0.5,3,1.0,All Other Markets Combined,Point Burger Bar- Pewaukee,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4643,Healthdrop Manufacturing,5,2,1,0.5,2,3,2,2022Q3,2,3,0.6667,2,1.0,"Salt Lake City-Provo-Orem, UT",Healthdrop Manufacturing,1.0,1.0,1.0,Manufacturing,1.0,15.0,1.0,30.0,,1.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4649,"RRR Metals, Inc",4,2,2,1.0,3,8,-2,2022Q3,6,12,0.5,3,1.0,"Salt Lake City-Provo-Orem, UT","RRR Metals, Inc",,,,,,,,,,,2022Q3
All Other Markets Combined,4651,Hilton Nashville Green Hills,20,1,1,1.0,26,46,20,2022Q3,27,27,1.0,26,0.96,All Other Markets Combined,Hilton Nashville Green Hills,,,,,,,,,,,2022Q3
All Other Markets Combined,4652,Golden Valley Wholesale,5,4,2,0.5,11,110,44,2022Q3,17,70,0.2429,11,2.6,All Other Markets Combined,Golden Valley Wholesale,2.0,4.0,0.5,Warehouse,2.0,10.5,4.1429,28.46,1.0,12.0,2022Q3
"Dallas-Fort Worth, TX-OK",4658,Guaranteed Express Inc,1,1,1,1.0,6,18,13,2022Q3,6,6,1.0,6,5.6,"Dallas-Fort Worth, TX-OK",Guaranteed Express Inc,,,,,,,,,,,2022Q3
All Other Markets Combined,4659,Jo's Traveling Bar,36,1,1,1.0,6,10,-6,2022Q3,8,17,0.4706,6,0.0,All Other Markets Combined,Jo's Traveling Bar,,,,,,,,,,,2022Q3
All Other Markets Combined,4660,The Workman Company,2,2,1,0.5,8,13,6,2022Q3,8,9,0.8889,8,3.2857,All Other Markets Combined,The Workman Company,,,,,,,,,,,2022Q3
All Other Markets Combined,4663,Holistic Freedom Institute,3,1,1,1.0,6,9,4,2022Q3,6,6,1.0,6,5.6,All Other Markets Combined,Holistic Freedom Institute,,,,Medical,,,4.0,,,,2022Q3
All Other Markets Combined,4666,Sweet Classics Concessions,9,4,3,0.75,19,55,-61,2022Q3,34,120,0.2833,19,0.2222,All Other Markets Combined,Sweet Classics Concessions,,,,,,,,,,,2022Q3
"Las Vegas-Henderson, NV",4670,The Only Bean,2,3,2,0.6667,2,23,8,2022Q4,5,18,0.2778,2,3.0,"Las Vegas-Henderson, NV",The Only Bean,5.0,8.0,0.625,Warehouse,2.6667,16.666666666666668,0.0,147.77,118.0,8.0,2022Q4
All Other Markets Combined,4675,OurPro,1,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,All Other Markets Combined,OurPro,,,,,,,,,,,2022Q3
All Other Markets Combined,4678,Premium Oilfield,1,2,1,0.5,7,7,-2,2022Q3,8,11,0.7273,7,1.0,All Other Markets Combined,Premium Oilfield,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4680,All Metals Fabricating,7,2,2,1.0,57,114,40,2022Q3,63,76,0.8289,57,0.2679,"Dallas-Fort Worth, TX-OK",All Metals Fabricating,,,,Manufacturing,,,38.0,,,,2022Q3
All Other Markets Combined,4681,San Antonio Missions Baseball,8,5,3,0.6,33,133,-96,2022Q3,66,234,0.2821,33,0.5313,All Other Markets Combined,San Antonio Missions Baseball,23.0,23.0,1.0,Food Services,1.0,16.0,5.2083,836.32,7.9091,23.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4685,Sushi Sensei,2,1,2,2.0,3,6,3,2022Q3,4,4,1.0,3,10.5,"Salt Lake City-Provo-Orem, UT",Sushi Sensei,1.0,1.0,1.0,Food Services,1.0,14.0,2.5,42.14,,1.0,2022Q3
All Other Markets Combined,4687,Foundation Supportworks of Idaho,2,2,1,0.5,2,5,4,2022Q3,2,3,0.6667,2,1.0,All Other Markets Combined,Foundation Supportworks of Idaho,,,,,,,,,,,2022Q3
All Other Markets Combined,4694,Applewood Coney Island,1,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Applewood Coney Island,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4695,Millennium Distribution DFW,6,2,1,0.5,23,48,0,2022Q3,33,50,0.66,23,1.0,"Dallas-Fort Worth, TX-OK",Millennium Distribution DFW,,,,Warehouse,,,1.0,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4699,STRUCTURED CABLE PRODUCTS,0,1,2,2.0,20,327,297,2022Q3,24,31,0.7742,20,1.4211,"Dallas-Fort Worth, TX-OK",STRUCTURED CABLE PRODUCTS,210.0,210.0,1.0,Manufacturing,1.0,14.790284364709358,3.7333,8997.73,0.6411,211.0,2022Q3
All Other Markets Combined,4709,Marty's Pizza Delafield,12,3,2,0.6667,16,105,69,2022Q3,21,39,0.5385,16,1.6,All Other Markets Combined,Marty's Pizza Delafield,,,,,,,,,,,2022Q3
All Other Markets Combined,4712,Alpla Houston,5,1,1,1.0,13,13,1,2022Q3,13,13,1.0,13,1.6667,All Other Markets Combined,Alpla Houston,,,,,,,,,,,2022Q3
All Other Markets Combined,4726,Budreck Truck Lines,7,4,1,0.25,5,32,22,2022Q3,6,14,0.4286,5,2.0,All Other Markets Combined,Budreck Truck Lines,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4728,CRD Events,5,2,2,1.0,1,3,1,2022Q3,2,4,0.5,1,,"Dallas-Fort Worth, TX-OK",CRD Events,,,,Events,,,5.0,,,,2022Q3
All Other Markets Combined,4734,Garage Door Team LLC,0,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Garage Door Team LLC,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4742,"Absolute Touch Cleaning and Organizing, LLC",6,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,"Dallas-Fort Worth, TX-OK","Absolute Touch Cleaning and Organizing, LLC",,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4748,Sterling ATM,5,2,2,1.0,25,82,19,2022Q3,33,65,0.5077,25,0.9167,"Salt Lake City-Provo-Orem, UT",Sterling ATM,,,,,,,,,,,2022Q3
All Other Markets Combined,4753,Fetch Package - Nashville,1,2,4,2.0,39,223,-26,2022Q3,98,251,0.3904,39,0.7632,All Other Markets Combined,Fetch Package - Nashville,,,,,,,,,,,2022Q3
"Las Vegas-Henderson, NV",4754,PME Community Services,1,1,1,1.0,4,8,4,2022Q4,4,5,0.8,4,6.0,"Las Vegas-Henderson, NV",PME Community Services,6.0,6.0,1.0,Janitorial,2.0,15.0,12.0,236.25,3.0,4.0,2022Q4
All Other Markets Combined,4755,Unicorn Tire,5,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Unicorn Tire,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4756,American Marketing Inc.,2,1,1,1.0,3,3,0,2022Q3,3,4,0.75,3,2.0,"Salt Lake City-Provo-Orem, UT",American Marketing Inc.,,,,,,,,,,,2022Q3
All Other Markets Combined,4761,Strategic Filtration,2,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,All Other Markets Combined,Strategic Filtration,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4765,SMPL Manufacturing,0,5,3,0.6,2,45,-21,2022Q3,10,71,0.1408,2,2.0,"Salt Lake City-Provo-Orem, UT",SMPL Manufacturing,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4770,Hales Logistics,1,1,1,1.0,15,111,97,2022Q3,15,15,1.0,15,1.9286,"Salt Lake City-Provo-Orem, UT",Hales Logistics,73.0,75.0,0.9733,Warehouse,1.1333,15.0,3.5143,3061.7,1.8305,68.0,2022Q3
"Las Vegas-Henderson, NV",4771,Central Valley Silver State Specialists- TruTeam Las Vegas,6,2,3,1.5,7,36,-8,2022Q3,20,46,0.4348,7,4.6667,"Las Vegas-Henderson, NV",Central Valley Silver State Specialists- TruTeam Las Vegas,,,,,,,,,,,2022Q3
All Other Markets Combined,4773,"Dugout Sports, LLC",5,1,1,1.0,2,1,0,2022Q3,2,2,1.0,2,1.0,All Other Markets Combined,"Dugout Sports, LLC",,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4777,Mountainview Builders Supply,3,3,3,1.0,4,69,-54,2022Q4,21,126,0.1667,4,7.0,"Salt Lake City-Provo-Orem, UT",Mountainview Builders Supply,33.0,41.0,0.8049,Manufacturing,6.2857,18.0,1.8,249.35,61.2,44.0,2022Q4
All Other Markets Combined,4786,What's the Current,1,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,What's the Current,,,,,,,,,,,2022Q3
All Other Markets Combined,4790,CACi Grill,1,1,2,2.0,17,61,43,2022Q3,19,19,1.0,17,1.3125,All Other Markets Combined,CACi Grill,32.0,34.0,0.9412,Food Services,1.2414,16.379310344827587,3.7273,858.48,11.7083,36.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4793,Mak’s Cleaning LLC,1,3,3,1.0,6,24,-4,2022Q3,11,31,0.3548,6,5.2,"Salt Lake City-Provo-Orem, UT",Mak’s Cleaning LLC,9.0,9.0,1.0,Janitorial,1.25,17.0,9.0,154.89,22.5,10.0,2022Q3
"Las Vegas-Henderson, NV",4802,SportCrete,0,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,"Las Vegas-Henderson, NV",SportCrete,,,,,,,,,,,2022Q3
All Other Markets Combined,4890,Rembrandts,1,1,1,1.0,6,76,71,2022Q3,6,6,1.0,6,5.8,All Other Markets Combined,Rembrandts,49.0,57.0,0.8596,Food Services,1.2,15.254545454545454,2.9733,2106.16,5.3333,66.0,2022Q3
All Other Markets Combined,4892,Washington Waldorf School,5,1,1,1.0,2,1,0,2022Q3,2,2,1.0,2,1.0,All Other Markets Combined,Washington Waldorf School,,,,,,,,,,,2022Q3
All Other Markets Combined,4893,Glenn's Market & Catering,8,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Glenn's Market & Catering,,,,,,,,,,,2022Q3
All Other Markets Combined,4894,Morgan Taylor’d Events,0,2,1,0.5,4,39,21,2022Q3,10,20,0.5,4,6.6667,All Other Markets Combined,Morgan Taylor’d Events,32.0,33.0,0.9697,Events,1.7143,25.428571428571427,1.0526,391.1,17.0833,24.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4905,Zena's Flowers and Gifts,2,1,2,2.0,26,163,-77,2022Q3,73,241,0.3029,26,1.04,"Salt Lake City-Provo-Orem, UT",Zena's Flowers and Gifts,,,,,,,,,,,2022Q3
All Other Markets Combined,4906,DJJohnny Utah Promotions,1,1,1,1.0,1,8,8,2022Q4,1,1,1.0,1,,All Other Markets Combined,DJJohnny Utah Promotions,7.0,8.0,0.875,Entertainment,2.6667,28.33333333333333,1.3333,126.0,31.0,8.0,2022Q4
All Other Markets Combined,4908,Universal Steel America,8,1,1,1.0,1,0,0,2022Q4,1,1,1.0,1,,All Other Markets Combined,Universal Steel America,,,,,,,,,,,2022Q4
All Other Markets Combined,4915,Spark Vintage Rentals LLC,1,1,1,1.0,5,4,0,2022Q3,5,5,1.0,5,0.75,All Other Markets Combined,Spark Vintage Rentals LLC,,,,,,,,,,,2022Q3
All Other Markets Combined,4936,"Icon OEM, Inc.",1,3,3,1.0,39,594,252,2022Q3,106,345,0.3072,39,0.5,All Other Markets Combined,"Icon OEM, Inc.",272.0,342.0,0.7953,Warehouse,3.3434,15.555555555555555,1.3551,11812.47,1.7755,331.0,2022Q3
All Other Markets Combined,4940,Rosecroft Raceway,6,4,1,0.25,9,344,289,2022Q3,17,59,0.2881,9,3.5,All Other Markets Combined,Rosecroft Raceway,218.0,246.0,0.8862,Entertainment,1.5,15.0,4.7821,7392.88,1.915,246.0,2022Q3
All Other Markets Combined,4943,"Treehous, LLC",3,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,"Treehous, LLC",,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4944,Venue 6SIX9,2,4,4,1.0,1,0,-12,2022Q3,4,16,0.25,1,,"Salt Lake City-Provo-Orem, UT",Venue 6SIX9,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4948,CH Holdings,1,1,1,1.0,2,1,-1,2022Q3,3,3,1.0,2,9.0,"Salt Lake City-Provo-Orem, UT",CH Holdings,,,,Construction,,,0.0,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4953,Salt Palace Convention Center,4,5,6,1.2,87,5700,3083,2022Q3,429,2622,0.1636,87,0.0698,"Salt Lake City-Provo-Orem, UT",Salt Palace Convention Center,5089.0,5283.0,0.9633,Events,6.01,16.0,4.622,229127.51,0.0745,4814.0,2022Q3
All Other Markets Combined,4966,Adler Pelzer Group,4,1,2,2.0,5,4,-2,2022Q3,7,7,1.0,5,0.75,All Other Markets Combined,Adler Pelzer Group,,,,,,,,,,,2022Q3
All Other Markets Combined,4967,Juniper Green Events,19,1,1,1.0,1,6,6,2022Q4,1,1,1.0,1,,All Other Markets Combined,Juniper Green Events,6.0,6.0,1.0,Events,1.2,18.2,12.5,197.26,19.5,6.0,2022Q4
"Dallas-Fort Worth, TX-OK",4971,DealsPointer INC,4,2,2,1.0,12,73,11,2022Q4,24,64,0.375,12,1.2727,"Dallas-Fort Worth, TX-OK",DealsPointer INC,37.0,47.0,0.7872,Retail,2.2273,16.545454545454547,2.7813,693.44,10.9,49.0,2022Q4
"Dallas-Fort Worth, TX-OK",4971,DealsPointer INC,4,2,2,1.0,12,73,11,2022Q4,24,64,0.375,12,1.2727,All Other Markets Combined,DealsPointer INC,37.0,47.0,0.7872,Retail,2.2273,16.545454545454547,2.7813,693.44,10.9,49.0,2022Q4
All Other Markets Combined,4971,DealsPointer INC,4,2,2,1.0,12,73,11,2022Q4,24,64,0.375,12,1.2727,"Dallas-Fort Worth, TX-OK",DealsPointer INC,37.0,47.0,0.7872,Retail,2.2273,16.545454545454547,2.7813,693.44,10.9,49.0,2022Q4
All Other Markets Combined,4971,DealsPointer INC,4,2,2,1.0,12,73,11,2022Q4,24,64,0.375,12,1.2727,All Other Markets Combined,DealsPointer INC,37.0,47.0,0.7872,Retail,2.2273,16.545454545454547,2.7813,693.44,10.9,49.0,2022Q4
"Salt Lake City-Provo-Orem, UT",4990,Time Machine,7,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,"Salt Lake City-Provo-Orem, UT",Time Machine,,,,,,,,,,,2022Q3
All Other Markets Combined,5001,Chef Junction,11,1,1,1.0,2,3,-3,2022Q4,3,7,0.4286,2,0.0,All Other Markets Combined,Chef Junction,,,,,,,,,,,2022Q4
All Other Markets Combined,5004,Historic Bates Mansion,180,1,1,1.0,1,6,6,2023Q1,1,1,1.0,1,,All Other Markets Combined,Historic Bates Mansion,5.0,6.0,0.8333,Events,1.75,18.5,74.6,109.84,104.5,7.0,2023Q1
"Dallas-Fort Worth, TX-OK",5005,Brunchaholics,0,1,2,2.0,1,4,3,2022Q3,2,2,1.0,1,,"Dallas-Fort Worth, TX-OK",Brunchaholics,8.0,8.0,1.0,Food Services,4.0,20.0,1.0,236.88,,4.0,2022Q3
"Dallas-Fort Worth, TX-OK",5022,Dei Rossi Marketing,3,1,1,1.0,14,210,181,2022Q3,20,30,0.6667,14,2.2308,"Dallas-Fort Worth, TX-OK",Dei Rossi Marketing,59.0,62.0,0.9516,Sales,1.4762,14.821428571428571,2.9792,2507.0,6.1951,62.0,2022Q3
"Salt Lake City-Provo-Orem, UT",5023,Thomas Cuisine - Utah (Pluralsight),3,1,1,1.0,8,8,1,2022Q3,8,8,1.0,8,1.7143,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Pluralsight),,,,Hospitality,,,7.0,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",5025,Thomas Cuisine - Utah (Biofire 1201),4,1,1,1.0,27,143,117,2022Q4,27,27,1.0,27,1.1154,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Biofire 1201),76.0,76.0,1.0,Hospitality,1.0,17.30263157894737,5.0101,3810.55,3.8,76.0,2022Q4
"Salt Lake City-Provo-Orem, UT",5027,Thomas Cuisine - Utah (Biofire 94),4,1,1,1.0,32,215,180,2022Q3,35,36,0.9722,32,0.6129,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Biofire 94),44.0,44.0,1.0,Hospitality,1.0,16.032608695652176,6.2206,1685.4,0.8372,46.0,2022Q3
"Salt Lake City-Provo-Orem, UT",5029,Thomas Cuisine - Utah (Varex),9,1,1,1.0,1,2,2,2022Q4,1,1,1.0,1,,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Varex),1.0,1.0,1.0,Hospitality,1.0,17.0,2.0,44.2,,1.0,2022Q4
"Salt Lake City-Provo-Orem, UT",5030,Thomas Cuisine - Utah (Biofire 1001),1,1,2,2.0,51,1696,1551,2022Q3,94,146,0.6438,51,0.2,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Biofire 1001),1455.0,1471.0,0.9891,Hospitality,1.1946,17.070403587443945,9.4051,72100.0,0.0254,1332.0,2022Q3
"Salt Lake City-Provo-Orem, UT",5031,Thomas Cuisine - Utah (Texas Instruments),5,1,1,1.0,8,180,161,2022Q4,12,20,0.6,8,4.1429,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (Texas Instruments),76.0,78.0,0.9744,Hospitality,1.0519,16.98701298701299,4.1346,3488.73,3.8378,81.0,2022Q4
"Salt Lake City-Provo-Orem, UT",5033,DIME Beauty Co,1,6,6,1.0,5,804,625,2022Q3,27,185,0.1459,5,7.25,"Salt Lake City-Provo-Orem, UT",DIME Beauty Co,320.0,323.0,0.9907,Warehouse,17.9412,15.0,9.9583,12984.6,3.5,305.0,2022Q3
"Las Vegas-Henderson, NV",5040,All-Star Fence Company,7,1,1,1.0,12,12,1,2022Q3,12,12,1.0,12,1.5455,"Las Vegas-Henderson, NV",All-Star Fence Company,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",5047,RLS Performance,5,2,1,0.5,5,262,250,2022Q3,7,14,0.5,5,1.0,"Salt Lake City-Provo-Orem, UT",RLS Performance,202.0,212.0,0.9528,Warehouse,2.4524,19.952380952380956,44.1036,10591.16,3.5921,206.0,2022Q3
All Other Markets Combined,5048,BEST Crowd Management - Boise,4,100,19,0.19,3,695,-2485,2022Q3,44,3280,0.0134,3,10.5,All Other Markets Combined,BEST Crowd Management - Boise,170.0,317.0,0.5363,Events,49.625,16.125,11.375,6818.28,31.0,397.0,2022Q3
"Dallas-Fort Worth, TX-OK",5056,Graze Craze Plano,2,1,1,1.0,5,8,4,2022Q3,5,5,1.0,5,5.5,"Dallas-Fort Worth, TX-OK",Graze Craze Plano,1.0,1.0,1.0,Food Services,1.0,15.0,2.5,19.2,,1.0,2022Q3
All Other Markets Combined,5057,SodexoMagic - Jackson Memorial Hospital Main,5,2,1,0.5,36,1120,937,2022Q3,77,185,0.4162,36,0.6857,All Other Markets Combined,SodexoMagic - Jackson Memorial Hospital Main,715.0,758.0,0.9433,Food Services,1.4654,17.83739837398374,9.6952,29083.25,0.25,721.0,2022Q3
All Other Markets Combined,5060,SodexoMagic - Jackson Memorial North,1,1,1,1.0,19,22,3,2023Q1,19,20,0.95,19,1.2222,All Other Markets Combined,SodexoMagic - Jackson Memorial North,22.0,23.0,0.9565,Food Services,1.0952,17.0,7.0833,896.86,4.2,23.0,2023Q1
"Salt Lake City-Provo-Orem, UT",5061,BEST Crowd Management - University of Utah,3,75,26,0.3467,6,472,-14806,2022Q3,163,15353,0.0106,6,5.4,"Salt Lake City-Provo-Orem, UT",BEST Crowd Management - University of Utah,,,,,,,,,,,2022Q3
All Other Markets Combined,5062,Sodexo - Jackson Memorial North EVS,5,5,5,1.0,12,1845,1708,2022Q4,30,142,0.2113,12,0.9091,All Other Markets Combined,Sodexo - Jackson Memorial North EVS,1451.0,1540.0,0.9422,Janitorial,1.1367,15.661661434472542,22.4851,50248.56,0.0387,1813.0,2022Q4
All Other Markets Combined,5070,"Executive Events, LLC",5,3,4,1.3333,3,4,-13,2022Q3,8,20,0.4,3,0.5,All Other Markets Combined,"Executive Events, LLC",,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",5079,Soirée Coffee Bar,0,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,"Dallas-Fort Worth, TX-OK",Soirée Coffee Bar,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",5092,ALT Linen,0,1,1,1.0,10,21,-6,2022Q3,15,28,0.5357,10,1.0,"Dallas-Fort Worth, TX-OK",ALT Linen,1.0,2.0,0.5,Warehouse,2.0,17.0,0.0,20.23,,2.0,2022Q3
All Other Markets Combined,5093,Maui Wowi,6,1,1,1.0,1,8,8,2022Q4,1,1,1.0,1,,All Other Markets Combined,Maui Wowi,8.0,8.0,1.0,Food Services,1.0,16.0,8.9286,264.87,36.7143,8.0,2022Q4
All Other Markets Combined,5096,"Chappell's Cleaning Services, LLC",0,1,1,1.0,2,4,2,2022Q4,2,3,0.6667,2,8.0,All Other Markets Combined,"Chappell's Cleaning Services, LLC",,,,Janitorial,,,4.25,,,,2022Q4
"Salt Lake City-Provo-Orem, UT",5103,Wonder Entertainment,8,6,6,1.0,9,312,89,2022Q3,45,229,0.1965,9,1.125,"Salt Lake City-Provo-Orem, UT",Wonder Entertainment,131.0,144.0,0.9097,Entertainment,4.3226,17.29032258064516,9.9512,4490.71,8.8,134.0,2022Q3
"Las Vegas-Henderson, NV",5104,TetrisPrep,1,1,1,1.0,8,137,37,2022Q3,26,101,0.2574,8,1.8571,"Las Vegas-Henderson, NV",TetrisPrep,65.0,74.0,0.8784,Warehouse,1.9189,17.054054054054053,21.2045,1795.23,7.4412,71.0,2022Q3
All Other Markets Combined,5110,EKO Crewing ,5,10,3,0.3,2,321,292,2022Q3,4,39,0.1026,2,0.0,All Other Markets Combined,EKO Crewing ,175.0,267.0,0.6554,Entertainment,12.48,17.0,7.6538,4001.21,6.8182,312.0,2022Q3
All Other Markets Combined,5113,Island Deliveries,7,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,All Other Markets Combined,Island Deliveries,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",5115,BayWatch Technologies,7,1,1,1.0,2,1,0,2022Q3,2,2,1.0,2,1.0,"Salt Lake City-Provo-Orem, UT",BayWatch Technologies,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",5120,"Go Energy Foods, Inc.",1,4,4,1.0,6,36,-27,2022Q3,20,67,0.2985,6,0.8,"Salt Lake City-Provo-Orem, UT","Go Energy Foods, Inc.",21.0,25.0,0.84,Manufacturing,2.875,15.125,3.4444,706.88,19.8571,23.0,2022Q3
