csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
All Other Markets Combined,4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,All Other Markets Combined,Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
All Other Markets Combined,4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,"Dallas-Fort Worth, TX-OK",Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
"Dallas-Fort Worth, TX-OK",4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,All Other Markets Combined,Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
"Dallas-Fort Worth, TX-OK",4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,"Dallas-Fort Worth, TX-OK",Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
"Dallas-Fort Worth, TX-OK",4235,Buzz Print,1,1,1,1.0,6,221,216,2022Q4,6,6,1.0,6,1.4,"Dallas-Fort Worth, TX-OK",Buzz Print,190.0,204.0,0.9314,Manufacturing,1.626,14.614503816793894,8.0,7534.23,2.432,213.0,2022Q4
All Other Markets Combined,4237,Archangel Services LLC,2,1,1,1.0,2,3,2,2022Q3,2,2,1.0,2,6.0,All Other Markets Combined,Archangel Services LLC,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4238,Carlson Distributing,43,2,2,1.0,6,9,-4,2022Q3,8,15,0.5333,6,1.2,"Salt Lake City-Provo-Orem, UT",Carlson Distributing,,,,,,,,,,,2022Q3
All Other Markets Combined,4242,TSO Products,6,1,1,1.0,19,61,43,2023Q1,19,19,1.0,19,1.6111,All Other Markets Combined,TSO Products,62.0,62.0,1.0,Manufacturing,1.0,19.0,8.6203,3355.18,1.7705,62.0,2023Q1
All Other Markets Combined,4248,American Printing Company,82,1,1,1.0,9,10,2,2022Q3,9,9,1.0,9,2.875,All Other Markets Combined,American Printing Company,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4274,Zealous Mercantile Co.,3,1,1,1.0,3,3,1,2022Q3,3,3,1.0,3,5.0,"Dallas-Fort Worth, TX-OK",Zealous Mercantile Co.,,,,,,,,,,,2022Q3
All Other Markets Combined,4278,The Wedding Plan,10,1,1,1.0,1,0,0,2022Q4,1,1,1.0,1,,All Other Markets Combined,The Wedding Plan,,,,,,,,34.9,,,2022Q4
All Other Markets Combined,4280,"Electric Surges, LLC",1,1,2,2.0,1,0,-1,2022Q3,2,2,1.0,1,,All Other Markets Combined,"Electric Surges, LLC",,,,,,,,,,,2022Q3
All Other Markets Combined,4311,DC RESTORATION,1,3,1,0.3333,3,143,135,2022Q3,5,11,0.4545,3,2.0,All Other Markets Combined,DC RESTORATION,37.0,43.0,0.8605,Construction,2.625,14.0625,28.9412,1283.47,18.5,42.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4313,"AJS Carpet Cleaning, Inc.",4,1,1,1.0,5,26,22,2022Q3,5,5,1.0,5,1.0,"Salt Lake City-Provo-Orem, UT","AJS Carpet Cleaning, Inc.",6.0,6.0,1.0,Janitorial,1.0,17.0,15.0,259.28,41.8,6.0,2022Q3
All Other Markets Combined,4332,White Eagle Golf Club,1,3,3,1.0,1,0,-6,2022Q3,3,9,0.3333,1,,All Other Markets Combined,White Eagle Golf Club,,,,,,,,,,,2022Q3
All Other Markets Combined,4337,Frank's Manufacturing Co,7,2,1,0.5,17,120,76,2022Q3,24,46,0.5217,17,1.8125,All Other Markets Combined,Frank's Manufacturing Co,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4348,Concord Homes - Eagle Mountain,6,2,2,1.0,19,88,42,2022Q3,29,48,0.6042,19,1.6111,"Salt Lake City-Provo-Orem, UT",Concord Homes - Eagle Mountain,2.0,2.0,1.0,Construction,1.0,18.0,4.5,110.25,5.0,2.0,2022Q3
"Las Vegas-Henderson, NV",4353,Black Mountain Fulfillment,2,1,1,1.0,22,84,44,2022Q3,29,41,0.7073,22,1.2857,"Las Vegas-Henderson, NV",Black Mountain Fulfillment,3.0,5.0,0.6,Warehouse,5.0,14.0,4.0,107.61,,5.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4355,SSS Offroad,5,1,1,1.0,4,3,0,2022Q3,4,4,1.0,4,5.0,"Salt Lake City-Provo-Orem, UT",SSS Offroad,,,,,,,,,,,2022Q3
