csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",158,-st  N (srRTi lt)o enieUSMFC Ui,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",170,armgakanei CtdLrn,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",172,mIgiFinounga s,16.0,16.0,1.0,Manufacturing,1.0,16.5,0.4118,805.78,1.7333,16.0,2019Q3
"Salt Lake City-Provo-Orem, UT",174," tpmceCI,Bciy l poneie.liSzncneadocs",,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",177,sr cPilheyeFkd,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",179,rvBsnkDoetet  Evonaerpo,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",184,mCiltsunen diiiUe,24.0,24.0,1.0,Food Services,5.6667,17.0,9.0,1080.36,71.5,17.0,2019Q3
"Salt Lake City-Provo-Orem, UT",185,s U pHlXrtuoLpiyGtioa,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",189,abherePenrtlCuy a Tc,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",191, Ir(DBBatrdyaus  ME)MmGuneha,18.0,21.0,0.8571,Warehouse,2.5,16.75,3.75,734.97,13.8571,20.0,2019Q4
"Salt Lake City-Provo-Orem, UT",193,nvxsLutEe ,45.0,46.0,0.9783,Food Services,3.0,16.0,4.5294,1752.62,7.9231,42.0,2019Q3
All Other Markets Combined,193, ELvuxesnt,45.0,46.0,0.9783,Food Services,3.0,16.0,4.5294,1752.62,7.9231,42.0,2019Q3
"Salt Lake City-Provo-Orem, UT",194,tcicEielveHc ,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",195,",gLtl.anaap Cen niIScliCC ",,,,,,,,,,,2019Q3
All Other Markets Combined,200,rkCHeiiSre l aeSc aemglpgvsonnin,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",204,ay eioS/nr tieEeCfrcoL,,,,,,,,,,,2019Q4
All Other Markets Combined,211,iage Haavin TrvPlC lert rlWtyea,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",211,aagvTWnlyrvlC i atr tPrlaHee ie,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",212,parRTLimoca  emapa,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",213,iiedMeav aL,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",216,0teie irhgBsnoot,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",217,kD Beetsoeor,157.0,175.0,0.8971,Retail,7.1111,16.59259259259259,85.3056,6238.23,14.9048,192.0,2019Q4
"Salt Lake City-Provo-Orem, UT",219,nnyoaegolmili teKHaK ,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",222,mvS AHiVrtneaenao rtmi ,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",224,dU Bupekc,54.0,60.0,0.9,Warehouse,15.0,12.0,1.5,1359.36,6.6667,60.0,2019Q4
"Salt Lake City-Provo-Orem, UT",228,loaaol vneRtT,4.0,4.0,1.0,Events,2.0,35.0,1.0,277.34,,2.0,2022Q2
"Salt Lake City-Provo-Orem, UT",231,u   CheCe rrSTLLobCah,28.0,29.0,0.9655,Construction,1.16,14.7,2.7879,946.53,10.2609,29.0,2019Q4
All Other Markets Combined,231,h CrTe ruCeoCbaL S Lh,28.0,29.0,0.9655,Construction,1.16,14.7,2.7879,946.53,10.2609,29.0,2019Q4
All Other Markets Combined,234,OCGAC LLIIU RPS,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",237,aUocereos it FdvSh,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",238, funSicPcou -taanrKTgaCMk,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",244,UoeDe ntrcFdtr  oisThi,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",246,Locn3PhrA,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",252,isorsshC  otnUoeeyvnaiUfnt csi,14.0,20.0,0.7,Food Services,20.0,20.0,0.0,533.4,,20.0,2019Q4
"Salt Lake City-Provo-Orem, UT",253,eaVerwAi,1.0,1.0,1.0,Manufacturing,1.0,17.0,0.5,50.16,,1.0,2019Q4
"Salt Lake City-Provo-Orem, UT",254,cpLgC soeoont,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",256,rtiDf,452.0,495.0,0.9131,Warehouse,1.509,13.225903614457833,10.773,13677.57,0.8339,501.0,2020Q4
"Salt Lake City-Provo-Orem, UT",258,mdrGr Cotoinohcapcia,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",260,"cP. InnkgU,aa icNg",,,,,,,,,,,2021Q2
"Salt Lake City-Provo-Orem, UT",264,"iauF iimyern  oClfa tsDTv,imeso",270.0,270.0,1.0,Hospitality,1.0036,15.0,8.8644,8017.29,0.8479,282.0,2019Q4
"Salt Lake City-Provo-Orem, UT",265,igL nreSlMti CCl-rC ea,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",267,irPla dSvmr Bsegereiuae,,,,,,,,,,,2019Q4
All Other Markets Combined,269,ewlooisgbnnnduEC t,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",275, KPETAT,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",277,"LadarkrP a myPPyiLCnal r ,",54.0,55.0,0.9818,Construction,2.2,22.2,3.3333,2213.61,10.7083,55.0,2020Q2
"Salt Lake City-Provo-Orem, UT",278,iSl kyrlaLe hHta eotnSCo taet,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",286,iDoossneinoCc ndsam,156.0,199.0,0.7839,Food Services,8.2917,14.041666666666666,1.48,3516.69,11.8261,199.0,2020Q1
"Salt Lake City-Provo-Orem, UT",287,iiecIa SrsOnvDr t .eesSscS,3.0,3.0,1.0,Construction,3.0,17.0,4.5,171.31,,3.0,2020Q1
"Dallas-Fort Worth, TX-OK",289,bvsnaaTeuy irtrnS,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",290,eoeot awDsrCaponrt,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",296,MpHutne iekegsnoi,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",297,nD OtwtsfoiuratEets,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",298,C nelV roiotuCehlnsaoenC-d Uate t ilatyvn,161.0,166.0,0.9699,Events,1.974,13.571428571428571,6.0941,3976.54,3.1974,152.0,2020Q1
All Other Markets Combined,301, nyaEcocneomclanigp ,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",304,MtmhSmCoouienpngi p ,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",306,ebGre SmC pLutoLrpe,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",307,lFsuglmsr braWa,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",313,rBoBCL rW wwi noLldaso,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",315, orMaa&G tiFlltfel pons,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",316,a oe iesiNluuBLtfa e/nsDsHll vooa ,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",321,ranCepuy  n drTaoBDnm,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",322,"CgnaLa  a,iKPalckgL",,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",324,E Oiptles,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",327,arniMDlelwct eeosk,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",330,LzFPr tCeinioneL g,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",335,DP ceLmAo,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",337,iSlnSneonu iaa lkwtnioggsPoc,,,,,,,,,,,2020Q1
