csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,average_head_count,average_hourly_wage,average_shift_lead,total_net_commissionable_revenue_2023,avg_days_between_shifts
All Other Markets Combined,193,Lux Events,45,46,0.9783,Food Services,3.2941,16.058823529411764,4.5294,1752.62,7.9231
"Salt Lake City-Provo-Orem, UT",194,Eclectic Hive,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",195,"Capital Cleaning SLC, Inc.",,,,,,,,,
All Other Markets Combined,200,Sparkling Homes Cleaning Service,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",204,Sonic/ CoreLife Eatery,,,,,,,,,
All Other Markets Combined,211,Have Party Will Travel Catering,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",211,Have Party Will Travel Catering,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",212,Tacoma Lamp Repair,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",213,Media Lavie,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",216,one0eight Bistro,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",217,Deseret Book,154,171,0.9006,Retail,5.9444,16.666666666666668,85.3056,6115.83,15.5000
"Salt Lake City-Provo-Orem, UT",219,Koality Home Kleaning,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",222,Vivint Smart Home Arena,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",224,Bucked Up,54,60,0.9000,Warehouse,15.0000,12,1.5000,1359.36,6.6667
"Salt Lake City-Provo-Orem, UT",228,Tavolo Rental,4,4,1.0000,Events,2.0000,35,1.0000,277.34,
"Salt Lake City-Provo-Orem, UT",231,The Shrub Care Co LLC,28,29,0.9655,Construction,1.1212,14.651515151515152,2.7879,946.53,10.2609
All Other Markets Combined,231,The Shrub Care Co LLC,28,29,0.9655,Construction,1.1212,14.651515151515152,2.7879,946.53,10.2609
All Other Markets Combined,234,ASCII GROUP LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",237,Utah Food Services,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",238,TKS Co-Pack Manufacturing,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",244,First United Door Tech,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",246,Anchor3PL,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",252,University of Utah Concessions,14,20,0.7000,Food Services,20.0000,20,0.0000,533.4,
"Salt Lake City-Provo-Orem, UT",253,ViewArea,1,1,1.0000,Manufacturing,1.0000,17,0.5000,50.16,
"Salt Lake City-Provo-Orem, UT",254,Logo Concepts,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",256,Drift,451,494,0.9130,Warehouse,1.4517,13.285393258426966,10.7730,13641.57,0.8270
"Salt Lake City-Provo-Orem, UT",258,Goodman Chiropractic,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",260,"NU Packaging, Inc.",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",264,"Time for Families, Davis County",270,270,1.0000,Hospitality,1.0028,15,8.8644,8017.29,0.8479
"Salt Lake City-Provo-Orem, UT",265,Miller Catering - SLCC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",267,Savage Premier Builders,,,,,,,,,
All Other Markets Combined,269,Ebowden Consulting,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",275,KT TAPE,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",277,"Primary Park and Play, LLC",54,55,0.9818,Construction,2.1852,22.74074074074074,3.3333,2213.61,10.7083
"Salt Lake City-Provo-Orem, UT",278,Sheraton Salt Lake City Hotel,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",286,Diamond Concessions,156,199,0.7839,Food Services,8.2800,14.04,1.4800,3516.69,11.8261
"Salt Lake City-Provo-Orem, UT",287,SOS Disaster Services Inc.,3,3,1.0000,Construction,3.0000,17,4.5000,171.31,
"Dallas-Fort Worth, TX-OK",289,Saintsbury Tavern,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",290,Downeast Corporate,,,,,,,,,
"Dallas-Fort Worth, TX-OK",296,Mint Housekeeping,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",297,DownEast Outfitters,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",298,Utah Valley Convention Center - Custodial,161,166,0.9699,Events,1.9529,13.611764705882353,6.0941,3976.54,3.1974
All Other Markets Combined,301,Eco cleaning company,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",304,Momentum Shipping Co,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",306,September Group LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",307,Wallsburg Farms,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",313,Barlow Window Bros LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",315,Mapleton Floral & Gifts,,,,,,,,,
"Dallas-Fort Worth, TX-OK",316,House of Blues Dallas/ Live Nation,,,,,,,,,
"Dallas-Fort Worth, TX-OK",321,BD Turner and Company,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",322,"Kala Packaging, LLC",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",324,Elite Ops,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",327,Downeast Millcreek,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",330,Freezing Point LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",335,ADP Lemco,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",337,Snowline Packaging Solutions,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",338,Aspen Co-Pak,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",339,The Fulfillment Lab,735,827,0.8888,Warehouse,1.3333,14.870445344129555,5.8165,19009.29,0.2876
All Other Markets Combined,339,The Fulfillment Lab,735,827,0.8888,Warehouse,1.3333,14.870445344129555,5.8165,19009.29,0.2876
"Salt Lake City-Provo-Orem, UT",340,Origin Nutraceutical,,,,,,,,,
"Dallas-Fort Worth, TX-OK",343,The Eggleston Group,,,,,,,,,
"Dallas-Fort Worth, TX-OK",344,Lone Star Thread Works,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",346,Chef Shamy Gourmet Butter,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",347,ReadyWise,128,131,0.9771,Manufacturing,4.2667,15,4.2333,5235.76,10.1600
"Salt Lake City-Provo-Orem, UT",348,Runo Industries,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",349,Collings Construction llc,19,19,1.0000,Construction,1.1429,19.61904761904762,2.2381,861.38,6.9375
"Salt Lake City-Provo-Orem, UT",350,Blowtwin Containers,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",351,Mothers lounge LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",352,Infiniti Creations LLC,,,,,,,,,
"Dallas-Fort Worth, TX-OK",353,Image Microsystems Inc,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",355,Boxed Water Is Better,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",357,Packsize Now,72,74,0.9730,Manufacturing,1.2895,17.013157894736842,4.1184,2619.04,5.6154
"Salt Lake City-Provo-Orem, UT",358,Lawn Butler,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",359,"Streamline Manufacturing, LLC",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",361,Miss Essies Southern BBQ LLC,,,,,,,,,
All Other Markets Combined,361,Miss Essies Southern BBQ LLC,,,,,,,,,
"Dallas-Fort Worth, TX-OK",362,Farmbox Delivery,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",366,Golden Egg Solutions,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",367,"All Seasons Landscaping, Inc.",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",368,GoPineapple,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",369,Intermountain Nutrition,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",370,Polymershapes Salt Lake City,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",373,All States Landscaping,,,,,,,,,
All Other Markets Combined,374,Good Apple,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",375,Selery Fulfillment,61,67,0.9104,Warehouse,3.0000,16.32,8.0800,1690.66,13.3333
"Salt Lake City-Provo-Orem, UT",377,Nutrix International,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",378,Full Stack Fulfillment,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",379,OnSiteIQ,,,,,,,,,
"Dallas-Fort Worth, TX-OK",387,Metro Auto Auction Dallas,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",388,Signs.com,,,,,,,,,
"Dallas-Fort Worth, TX-OK",390,Firemanmovers LLC,59,61,0.9672,Delivery,1.0725,17,3.9565,2826.51,5.1273
"Salt Lake City-Provo-Orem, UT",392,True Love Skin Care,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",393,Pretium Salt Lake,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",395,Nano9,,,,,,,,,
"Dallas-Fort Worth, TX-OK",396,Real Framing,,,,,,,,,
"Dallas-Fort Worth, TX-OK",397,"Cable Technologies, Inc.",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",398,Rj Schinner Salt Lake City,158,169,0.9349,Warehouse,1.9881,17.738095238095237,4.1548,6704.93,3.9868
"Salt Lake City-Provo-Orem, UT",399,"Melange, LLC",,,,,,,,,
"Dallas-Fort Worth, TX-OK",400,ASI Concrete,,,,,,,,,
